017  00450 |Loss: 0.046321 | Acc: 100.000% 
017  00451 |Loss: 0.047632 | Acc: 100.000% 
017  00452 |Loss: 0.044930 | Acc: 100.000% 
017  00453 |Loss: 0.045166 | Acc: 100.000% 
017  00454 |Loss: 0.046130 | Acc: 100.000% 
017  00455 |Loss: 0.047008 | Acc: 100.000% 
017  00456 |Loss: 0.046111 | Acc: 100.000% 
017  00457 |Loss: 0.048324 | Acc: 100.000% 
017  00458 |Loss: 0.047544 | Acc: 100.000% 
017  00459 |Loss: 0.047351 | Acc: 100.000% 
017  00460 |Loss: 0.047800 | Acc: 100.000% 
017  00461 |Loss: 0.047220 | Acc: 100.000% 
017  00462 |Loss: 0.047267 | Acc: 100.000% 
017  00463 |Loss: 0.046629 | Acc: 100.000% 
017  00464 |Loss: 0.047305 | Acc: 100.000% 
017  00465 |Loss: 0.047928 | Acc: 100.000% 
017  00466 |Loss: 0.047484 | Acc: 100.000% 
017  00467 |Loss: 0.048596 | Acc: 100.000% 
017  00468 |Loss: 0.048174 | Acc: 100.000% 
017  00469 |Loss: 0.048319 | Acc: 100.000% 
017  00470 |Loss: 0.048608 | Acc: 100.000% 
017  00471 |Loss: 0.048059 | Acc: 100.000% 
017  00472 |Loss: 0.048286 | Acc: 100.000% 
017  00473 |Loss: 0.047731 | Acc: 100.000% 
017  00474 |Loss: 0.047158 | Acc: 100.000% 
017  00475 |Loss: 0.046955 | Acc: 100.000% 
017  00476 |Loss: 0.046833 | Acc: 100.000% 
018  00477 |Loss: 0.036858 | Acc: 100.000% 
018  00478 |Loss: 0.042009 | Acc: 100.000% 
018  00479 |Loss: 0.045262 | Acc: 100.000% 
018  00480 |Loss: 0.045017 | Acc: 100.000% 
018  00481 |Loss: 0.042822 | Acc: 100.000% 
018  00482 |Loss: 0.042909 | Acc: 100.000% 
018  00483 |Loss: 0.042589 | Acc: 100.000% 
018  00484 |Loss: 0.042322 | Acc: 100.000% 
018  00485 |Loss: 0.041940 | Acc: 100.000% 
018  00486 |Loss: 0.042016 | Acc: 100.000% 
018  00487 |Loss: 0.041092 | Acc: 100.000% 
018  00488 |Loss: 0.040269 | Acc: 100.000% 
018  00489 |Loss: 0.040486 | Acc: 100.000% 
018  00490 |Loss: 0.040757 | Acc: 100.000% 
018  00491 |Loss: 0.041114 | Acc: 100.000% 
018  00492 |Loss: 0.041700 | Acc: 100.000% 
018  00493 |Loss: 0.041749 | Acc: 100.000% 
018  00494 |Loss: 0.041774 | Acc: 100.000% 
018  00495 |Loss: 0.041601 | Acc: 100.000% 
018  00496 |Loss: 0.041491 | Acc: 100.000% 
018  00497 |Loss: 0.041506 | Acc: 100.000% 
018  00498 |Loss: 0.041359 | Acc: 100.000% 
018  00499 |Loss: 0.040940 | Acc: 100.000% 
