014  00390 |Loss: 2.644656 | Acc: 27.000% 
014  00391 |Loss: 2.622929 | Acc: 28.000% 
014  00392 |Loss: 2.632192 | Acc: 27.000% 
015  00393 |Loss: 2.432558 | Acc: 40.000% 
015  00394 |Loss: 2.358569 | Acc: 40.000% 
015  00395 |Loss: 2.506195 | Acc: 33.000% 
015  00396 |Loss: 2.638685 | Acc: 32.000% 
015  00397 |Loss: 2.626978 | Acc: 32.000% 
015  00398 |Loss: 2.642243 | Acc: 31.000% 
015  00399 |Loss: 2.700453 | Acc: 30.000% 
015  00400 |Loss: 2.750943 | Acc: 28.000% 
015  00401 |Loss: 2.801498 | Acc: 30.000% 
015  00402 |Loss: 2.754007 | Acc: 31.000% 
015  00403 |Loss: 2.809732 | Acc: 30.000% 
015  00404 |Loss: 2.815702 | Acc: 30.000% 
015  00405 |Loss: 2.745137 | Acc: 30.000% 
015  00406 |Loss: 2.756022 | Acc: 30.000% 
015  00407 |Loss: 2.720510 | Acc: 30.000% 
015  00408 |Loss: 2.691163 | Acc: 31.000% 
015  00409 |Loss: 2.636943 | Acc: 32.000% 
015  00410 |Loss: 2.600859 | Acc: 32.000% 
015  00411 |Loss: 2.585153 | Acc: 32.000% 
015  00412 |Loss: 2.571424 | Acc: 32.000% 
015  00413 |Loss: 2.596188 | Acc: 31.000% 
015  00414 |Loss: 2.588525 | Acc: 31.000% 
015  00415 |Loss: 2.583322 | Acc: 31.000% 
015  00416 |Loss: 2.559764 | Acc: 32.000% 
015  00417 |Loss: 2.570802 | Acc: 31.000% 
015  00418 |Loss: 2.558432 | Acc: 31.000% 
015  00419 |Loss: 2.566283 | Acc: 31.000% 
015  00420 |Loss: 2.555064 | Acc: 31.000% 
016  00421 |Loss: 1.941944 | Acc: 50.000% 
016  00422 |Loss: 2.008793 | Acc: 50.000% 
016  00423 |Loss: 2.099107 | Acc: 46.000% 
016  00424 |Loss: 2.265058 | Acc: 37.000% 
016  00425 |Loss: 2.319570 | Acc: 32.000% 
016  00426 |Loss: 2.420305 | Acc: 30.000% 
016  00427 |Loss: 2.285442 | Acc: 32.000% 
016  00428 |Loss: 2.301718 | Acc: 33.000% 
016  00429 |Loss: 2.304286 | Acc: 34.000% 
016  00430 |Loss: 2.360068 | Acc: 33.000% 
016  00431 |Loss: 2.361280 | Acc: 31.000% 
016  00432 |Loss: 2.406663 | Acc: 32.000% 
016  00433 |Loss: 2.495212 | Acc: 30.000% 
016  00434 |Loss: 2.500848 | Acc: 30.000% 
016  00435 |Loss: 2.492379 | Acc: 29.000% 
016  00436 |Loss: 2.449921 | Acc: 28.000% 
016  00437 |Loss: 2.429792 | Acc: 29.000% 
016  00438 |Loss: 2.427901 | Acc: 30.000% 
016  00439 |Loss: 2.430936 | Acc: 30.000% 
016  00440 |Loss: 2.477478 | Acc: 30.000% 
016  00441 |Loss: 2.494903 | Acc: 29.000% 
016  00442 |Loss: 2.467047 | Acc: 29.000% 
016  00443 |Loss: 2.463745 | Acc: 28.000% 
016  00444 |Loss: 2.450186 | Acc: 28.000% 
016  00445 |Loss: 2.446763 | Acc: 28.000% 
016  00446 |Loss: 2.445259 | Acc: 28.000% 
016  00447 |Loss: 2.439061 | Acc: 28.000% 
016  00448 |Loss: 2.459032 | Acc: 27.000% 
017  00449 |Loss: 1.693536 | Acc: 50.000% 
017  00450 |Loss: 1.671470 | Acc: 50.000% 
017  00451 |Loss: 2.259653 | Acc: 36.000% 
017  00452 |Loss: 2.201445 | Acc: 37.000% 
017  00453 |Loss: 2.125442 | Acc: 40.000% 
017  00454 |Loss: 2.145864 | Acc: 38.000% 
017  00455 |Loss: 2.288220 | Acc: 35.000% 
017  00456 |Loss: 2.416971 | Acc: 36.000% 
017  00457 |Loss: 2.442416 | Acc: 33.000% 
017  00458 |Loss: 2.495825 | Acc: 31.000% 
017  00459 |Loss: 2.426089 | Acc: 31.000% 
017  00460 |Loss: 2.494110 | Acc: 30.000% 
017  00461 |Loss: 2.478006 | Acc: 30.000% 
017  00462 |Loss: 2.469300 | Acc: 30.000% 
017  00463 |Loss: 2.427975 | Acc: 31.000% 
017  00464 |Loss: 2.428248 | Acc: 31.000% 
017  00465 |Loss: 2.457827 | Acc: 30.000% 
017  00466 |Loss: 2.436925 | Acc: 31.000% 
017  00467 |Loss: 2.421983 | Acc: 32.000% 
017  00468 |Loss: 2.408018 | Acc: 32.000% 
017  00469 |Loss: 2.425139 | Acc: 32.000% 
017  00470 |Loss: 2.424873 | Acc: 33.000% 
017  00471 |Loss: 2.413372 | Acc: 33.000% 
017  00472 |Loss: 2.423389 | Acc: 32.000% 
017  00473 |Loss: 2.392817 | Acc: 33.000% 
017  00474 |Loss: 2.386084 | Acc: 33.000% 
017  00475 |Loss: 2.370559 | Acc: 34.000% 
017  00476 |Loss: 2.377509 | Acc: 33.000% 
018  00477 |Loss: 1.655099 | Acc: 50.000% 
018  00478 |Loss: 1.774488 | Acc: 55.000% 
018  00479 |Loss: 1.787599 | Acc: 53.000% 
018  00480 |Loss: 1.840422 | Acc: 52.000% 
018  00481 |Loss: 1.850082 | Acc: 50.000% 
018  00482 |Loss: 1.825477 | Acc: 51.000% 
018  00483 |Loss: 1.902600 | Acc: 47.000% 
018  00484 |Loss: 2.004064 | Acc: 45.000% 
018  00485 |Loss: 1.968471 | Acc: 45.000% 
018  00486 |Loss: 1.954754 | Acc: 46.000% 
018  00487 |Loss: 2.036733 | Acc: 43.000% 
018  00488 |Loss: 2.078338 | Acc: 42.000% 
018  00489 |Loss: 2.016978 | Acc: 43.000% 
018  00490 |Loss: 1.997154 | Acc: 42.000% 
018  00491 |Loss: 2.012657 | Acc: 42.000% 
018  00492 |Loss: 1.999079 | Acc: 41.000% 
018  00493 |Loss: 1.988956 | Acc: 42.000% 
018  00494 |Loss: 2.022290 | Acc: 42.000% 
018  00495 |Loss: 2.134238 | Acc: 40.000% 
018  00496 |Loss: 2.218090 | Acc: 39.000% 
018  00497 |Loss: 2.223000 | Acc: 39.000% 
018  00498 |Loss: 2.191346 | Acc: 39.000% 
018  00499 |Loss: 2.180425 | Acc: 39.000% 
